id,county,state,male_under_5_years,male_5_to_9_years,male_10_to_14_years,male_15_to_19_years,male_20_to_24_years,male_25_to_29_years,male_30_to_34_years,male_35_to_39_years,male_40_to_44_years,male_45_to_49_years,male_50_to_54_years,male_55_to_59_years,male_60_to_64_years,male_65_to_69_years,male_70_to_74_years,male_75_to_79_years,male_80_to_84_years,male_85_years_and_over,male_percent_under_5_years,male_percent_5_to_9_years,male_percent_10_to_14_years,male_percent_15_to_19_years,male_percent_20_to_24_years,male_percent_25_to_29_years,male_percent_30_to_34_years,male_percent_35_to_39_years,male_percent_40_to_44_years,male_percent_45_to_49_years,male_percent_50_to_54_years,male_percent_55_to_59_years,male_percent_60_to_64_years,male_percent_65_to_69_years,male_percent_70_to_74_years,male_percent_75_to_79_years,male_percent_80_to_84_years,male_percent_85_years_and_over,female_under_5_years,female_5_to_9_years,female_10_to_14_years,female_15_to_19_years,female_20_to_24_years,female_25_to_29_years,female_30_to_34_years,female_35_to_39_years,female_40_to_44_years,female_45_to_49_years,female_50_to_54_years,female_55_to_59_years,female_60_to_64_years,female_65_to_69_years,female_70_to_74_years,female_75_to_79_years,female_80_to_84_years,female_85_years_and_over,female_percent_under_5_years,female_percent_5_to_9_years,female_percent_10_to_14_years,female_percent_15_to_19_years,female_percent_20_to_24_years,female_percent_25_to_29_years,female_percent_30_to_34_years,female_percent_35_to_39_years,female_percent_40_to_44_years,female_percent_45_to_49_years,female_percent_50_to_54_years,female_percent_55_to_59_years,female_percent_60_to_64_years,female_percent_65_to_69_years,female_percent_70_to_74_years,female_percent_75_to_79_years,female_percent_80_to_84_years,female_percent_85_years_and_over
0500000US15003,Honolulu,Hawaii,31097,29547,28615,28348,37788,40795,37036,33987,29884,29331,28329,28693,28128,23774,21513,14306,9146,9752,6.3,6,5.8,5.8,7.7,8.3,7.6,6.9,6.1,6,5.8,5.9,5.7,4.9,4.4,2.9,1.9,2,29005,28126,26359,25207,29765,35109,33442,34341,27403,28905,28515,29793,29159,26463,24546,18534,11406,18416,6,5.8,5.4,5.2,6.1,7.2,6.9,7.1,5.7,6,5.9,6.1,6,5.5,5.1,3.8,2.4,3.8
0500000US15007,Kauai,Hawaii,1909,2237,1774,2505,1685,2058,2217,2520,2617,1754,2165,2324,2488,2619,1561,1280,556,729,5.5,6.4,5.1,7.2,4.8,5.9,6.3,7.2,7.5,5,6.2,6.6,7.1,7.5,4.5,3.7,1.6,2.1,2272,2377,2659,1611,1809,1946,1814,2466,2337,2296,2383,1479,3324,2658,2220,1415,857,1372,6.1,6.4,7.1,4.3,4.9,5.2,4.9,6.6,6.3,6.2,6.4,4,8.9,7.1,6,3.8,2.3,3.7
0500000US15009,Maui,Hawaii,4937,4900,5750,4576,3961,4711,5380,4946,6305,5581,5177,7057,4380,5311,4528,3285,790,1174,6,5.9,6.9,5.5,4.8,5.7,6.5,6,7.6,6.7,6.3,8.5,5.3,6.4,5.5,4,1,1.4,4701,5548,4351,4488,3656,4940,5211,8345,4294,4749,5562,6415,5247,5798,4302,3137,1828,2167,5.5,6.5,5.1,5.3,4.3,5.8,6.1,9.8,5.1,5.6,6.6,7.6,6.2,6.8,5.1,3.7,2.2,2.6
0500000US16001,Ada,Idaho,13599,15015,17573,18061,14404,18083,18074,17786,17050,15866,15028,14169,14345,11166,9276,4830,3948,3848,5.6,6.2,7.3,7.5,5.9,7.5,7.5,7.3,7,6.6,6.2,5.9,5.9,4.6,3.8,2,1.6,1.6,13655,12527,18723,15039,13652,16998,16964,15528,17836,15164,14649,12398,17867,12659,10494,7545,4660,3108,5.7,5.2,7.8,6.3,5.7,7.1,7.1,6.5,7.4,6.3,6.1,5.2,7.5,5.3,4.4,3.2,1.9,1.3
0500000US16005,Bannock,Idaho,3902,3002,3341,3478,3349,3547,3354,2912,2428,2268,2353,2199,3168,2351,1303,1044,815,189,8.7,6.7,7.4,7.7,7.4,7.9,7.5,6.5,5.4,5,5.2,4.9,7,5.2,2.9,2.3,1.8,0.4,2878,3148,2393,3021,2870,3403,2993,2450,3213,2634,2201,2537,2432,1973,1915,1213,946,585,6.7,7.4,5.6,7.1,6.7,8,7,5.7,7.5,6.2,5.1,5.9,5.7,4.6,4.5,2.8,2.2,1.4
0500000US16019,Bonneville,Idaho,4786,5494,5532,4651,3841,3903,4429,4296,3049,3263,2952,3084,3938,2057,2340,1029,1019,705,7.9,9.1,9.2,7.7,6.4,6.5,7.3,7.1,5.1,5.4,4.9,5.1,6.5,3.4,3.9,1.7,1.7,1.2,4519,4883,5015,4056,3329,4203,4549,3726,3720,3012,3219,3015,3005,2935,1976,1740,1068,724,7.7,8.3,8.5,6.9,5.7,7.2,7.8,6.3,6.3,5.1,5.5,5.1,5.1,5,3.4,3,1.8,1.2
0500000US16027,Canyon,Idaho,8289,9044,9580,7834,8964,8029,7674,6458,8117,7521,5426,6273,6140,5128,4773,3178,1434,672,7.2,7.9,8.4,6.8,7.8,7,6.7,5.6,7.1,6.6,4.7,5.5,5.4,4.5,4.2,2.8,1.3,0.6,8025,9634,8608,8090,8007,7913,7803,8666,5746,6618,6048,6873,5817,5230,5555,3777,1206,1699,7,8.4,7.5,7,6.9,6.9,6.8,7.5,5,5.7,5.2,6,5,4.5,4.8,3.3,1,1.5
0500000US16055,Kootenai,Idaho,5055,6664,5307,5280,4397,5040,4812,5042,4923,4833,5299,5372,5442,4668,4409,3028,1775,1290,6.1,8.1,6.4,6.4,5.3,6.1,5.8,6.1,6,5.8,6.4,6.5,6.6,5.6,5.3,3.7,2.1,1.6,4483,5068,4566,4975,4341,5145,5621,5701,4719,4778,5227,5502,6023,6340,3678,2771,2249,1874,5.4,6.1,5.5,6,5.2,6.2,6.8,6.9,5.7,5.8,6.3,6.6,7.3,7.6,4.4,3.3,2.7,2.3
0500000US16083,Twin Falls,Idaho,3246,3422,3020,2606,3123,2795,2497,3629,2005,2040,2594,2696,2048,2068,1700,1391,878,334,7.7,8.1,7.2,6.2,7.4,6.6,5.9,8.6,4.8,4.8,6.2,6.4,4.9,4.9,4,3.3,2.1,0.8,3293,4740,3287,3193,2439,2706,3424,3640,1254,2173,2456,2380,2178,2080,2086,1622,905,930,7.4,10.6,7.3,7.1,5.4,6,7.6,8.1,2.8,4.9,5.5,5.3,4.9,4.6,4.7,3.6,2,2.1
0500000US17001,Adams,Illinois,1797,2103,2116,1728,1724,2032,1784,2218,1601,1735,2043,1995,2784,1267,1903,1724,636,564,5.7,6.6,6.7,5.4,5.4,6.4,5.6,7,5,5.5,6.4,6.3,8.8,4,6,5.4,2,1.8,2231,2263,1820,1544,1963,1893,2170,2214,2127,1674,1967,2213,2384,1919,1642,1282,992,1383,6.6,6.7,5.4,4.6,5.8,5.6,6.4,6.6,6.3,5,5.8,6.6,7.1,5.7,4.9,3.8,2.9,4.1
