id,county,state,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class
0500000US47009,Blount,Tennessee,50813,5.5,4.3,10.2,8.5,13.7,18.3,14.8,16.2,4.3,4.1,59276,75208,15932,Low
0500000US47011,Bradley,Tennessee,39992,6.4,9.4,7,9.5,15.4,16.1,14.9,15.5,2.4,3.5,52468,66632,14164,Very Low
0500000US47037,Davidson,Tennessee,289427,5,3.4,7.3,8.5,13.9,18.7,14,15,6,8.2,63938,92592,28654,Middle
0500000US47059,Greene,Tennessee,28323,7.5,5.2,14.4,12.9,15.1,17.7,13.6,8.6,3,1.9,44722,60317,15595,Very Low
0500000US47065,Hamilton,Tennessee,148157,5.2,4.7,9.8,9.2,14.1,18,12.5,14.4,6,6.1,57502,82222,24720,Low
0500000US47093,Knox,Tennessee,191925,7.1,3.7,10.1,9.2,12.4,17.3,13.6,14.6,5.3,6.7,60283,83334,23051,Middle
0500000US47113,Madison,Tennessee,38930,8.3,5.5,12.4,9.1,14.9,21.8,9.7,13.5,2.8,2.1,49820,61377,11557,Very Low
0500000US47119,Maury,Tennessee,37104,3.8,4.9,6.3,9.4,11.9,20.1,17.1,15.6,7.1,3.7,66781,80635,13854,High
0500000US47125,Montgomery,Tennessee,76974,5,4.1,6.2,10.8,18.3,19.7,12.6,15.1,5.4,2.7,56948,71883,14935,Low
0500000US47141,Putnam,Tennessee,31778,6.1,6.5,15.8,8.7,13.8,20.8,13.7,6.1,5.6,2.8,49282,63818,14536,Very Low
0500000US47147,Robertson,Tennessee,26577,4.2,3.4,8.4,8.7,12.1,20.8,13.3,15.9,10,3.1,66939,83276,16337,High
0500000US47149,Rutherford,Tennessee,113797,3,2.8,6.8,9,13.1,20.8,14,18.4,7.7,4.3,69397,85374,15977,High
0500000US47155,Sevier,Tennessee,37933,6.2,3.6,12.6,10.1,12.4,20,15,12.6,3.7,3.8,57741,71579,13838,Low
0500000US47157,Shelby,Tennessee,353950,8.1,6.1,9.8,10.3,13.2,17,11.2,12.7,4.5,7,52614,80016,27402,Very Low
0500000US47163,Sullivan,Tennessee,68560,7,4.8,10.9,9.6,16.1,20,11.7,13.4,3.6,2.9,51860,69377,17517,Very Low
0500000US47165,Sumner,Tennessee,70098,2.6,2.4,5.5,8.1,15.3,20.6,14.9,17.8,6.5,6.5,68743,94687,25944,High
0500000US47179,Washington,Tennessee,55817,9.9,6.2,8.8,12,12.2,17.6,10,13.5,4.8,5,51428,73919,22491,Very Low
0500000US47187,Williamson,Tennessee,84393,2.2,1.3,4.5,4.2,7.5,11.6,11.6,20.1,13.6,23.5,115507,155149,39642,Very High
0500000US47189,Wilson,Tennessee,51618,2.8,2.3,5.9,6.7,12,17,13.4,23.5,8.1,8.4,80071,99956,19885,Very High
0500000US48005,Angelina,Texas,32293,6.1,4.1,11.2,9.9,15.3,24,12.6,10.7,3.1,2.9,53320,63188,9868,Very Low
0500000US48021,Bastrop,Texas,26393,6.3,5.2,12.3,6.1,12.1,18.3,16.4,13.5,5.9,3.8,57938,78946,21008,Low
0500000US48027,Bell,Texas,126772,7.1,4.8,9.8,9.9,13.5,19.8,13,12.5,5.1,4.5,54560,73912,19352,Very Low
0500000US48029,Bexar,Texas,646352,6.6,3.9,9.1,9.5,13.1,19.7,12.8,14.1,6,5.3,58964,79424,20460,Low
0500000US48037,Bowie,Texas,34935,9.2,4.6,10.9,10.7,12.6,21.8,10.8,12.2,2.6,4.6,51802,72703,20901,Very Low
0500000US48039,Brazoria,Texas,129261,2.3,2.5,6.4,6.4,9.4,17.3,14.8,20.7,11.3,8.9,84904,105432,20528,Very High
0500000US48041,Brazos,Texas,79971,11.5,4,9.9,8.3,12.6,16.8,14,11.9,4.4,6.5,55121,76849,21728,Low
0500000US48061,Cameron,Texas,129307,9.3,8.2,13.9,13.1,12.7,15.8,10.7,11.2,2.6,2.7,41123,57625,16502,Very Low
0500000US48085,Collin,Texas,363599,3.2,1.5,4.1,5.2,10.1,14.1,13.5,20.8,12.6,14.9,96134,122503,26369,Very High
0500000US48091,Comal,Texas,57004,4,2.3,4.2,7,9.4,14.5,15,18.9,12.9,11.7,89315,114102,24787,Very High
0500000US48099,Coryell,Texas,22093,7.8,3.6,5.7,13.7,14.5,23.9,12.7,9.9,6,2.3,53504,68947,15443,Very Low
0500000US48113,Dallas,Texas,940587,6.2,3.2,7.7,8.7,14.3,19.3,12.4,14.5,5.6,8.1,61796,91752,29956,Middle
0500000US48121,Denton,Texas,305164,2.9,1.8,4.4,5.3,8.6,17.5,13.9,20.1,11.2,14.4,90523,119046,28523,Very High
0500000US48135,Ector,Texas,53155,4,3.8,9.4,7.7,12.4,17,13,18.7,8,5.9,67205,84688,17483,High
0500000US48139,Ellis,Texas,61465,4.2,2.6,5.5,9.1,8.6,17.3,15.3,20.9,8.5,8,78797,95244,16447,Very High
0500000US48141,El Paso,Texas,269150,9.2,5.5,10.5,11.5,14.2,20.7,10.7,11.9,3.4,2.4,48903,62655,13752,Very Low
0500000US48157,Fort Bend,Texas,253030,2.7,1.9,4.2,6.2,8.6,13.7,11.9,20.7,13,17.2,101293,126968,25675,Very High
0500000US48167,Galveston,Texas,127092,5.3,2.2,8.7,7.5,9.6,16.7,11.2,20.1,8.6,10.1,74977,97586,22609,High
0500000US48181,Grayson,Texas,49024,5.2,5.4,10.2,10.9,11.6,20.2,12.9,14.3,4.5,4.9,57476,74491,17015,Low
0500000US48183,Gregg,Texas,45711,5,4.7,12.6,10.3,12.2,18.4,14.4,10.6,7.5,4.3,53793,76229,22436,Very Low
0500000US48187,Guadalupe,Texas,56051,3.1,1.8,5.6,6.7,12,16.7,16,22.5,10.1,5.5,79768,94096,14328,Very High
0500000US48201,Harris,Texas,1647384,6.1,3.4,8.8,9.2,12.7,18.1,12,14.1,6.8,8.9,61618,92488,30870,Middle
0500000US48203,Harrison,Texas,24197,12.3,3.1,10.2,8.3,10.8,13.7,17.6,13.7,5.8,4.6,58817,79498,20681,Low
0500000US48209,Hays,Texas,77749,4.7,4,6.4,5.8,12.6,18.4,14.4,15.3,9.4,9,72058,95570,23512,High
0500000US48213,Henderson,Texas,30607,9.6,4.3,12.9,10,11.8,20.9,13.3,9.9,2.8,4.6,51521,69813,18292,Very Low
0500000US48215,Hidalgo,Texas,247544,11,7,14,11.3,14.2,16.3,9.7,10.7,3,2.8,41800,58371,16571,Very Low
0500000US48231,Hunt,Texas,35093,7,3.5,10.9,9.4,10.5,22.6,13.8,12.9,5.2,4.2,58063,70814,12751,Low
0500000US48245,Jefferson,Texas,89273,9,4,10.8,8.2,14.1,18.6,12.3,11.7,5.3,6.1,55797,73960,18163,Low
0500000US48251,Johnson,Texas,59113,4.8,3.1,7.6,7.7,12.4,19.5,16.4,16.8,7.5,4.1,66319,81926,15607,High
0500000US48257,Kaufman,Texas,39835,3.5,3.8,4.4,8,11.9,17.9,14.8,20.5,9.2,6,75775,90256,14481,Very High
0500000US48291,Liberty,Texas,27367,9.8,5,13.2,10.1,11.8,15.5,13,10,6.7,4.9,50049,68005,17956,Very Low
0500000US48303,Lubbock,Texas,117494,6.7,5.5,9.7,10,13.4,19,11.2,14.8,5.2,4.6,55003,75106,20103,Low
0500000US48309,McLennan,Texas,93021,8.8,6.4,9.5,9.1,15.4,16.3,11.5,13.6,4.1,5.3,50845,69956,19111,Very Low
0500000US48329,Midland,Texas,59325,5.7,2.3,9.3,4.2,8.6,15.5,11,20.4,9.8,13.2,82558,107722,25164,Very High
0500000US48339,Montgomery,Texas,209528,3,1.8,6.6,6.9,10.2,14.2,11.7,18.4,12,15.4,88695,120306,31611,Very High
0500000US48347,Nacogdoches,Texas,24722,7.9,7.2,15.2,9.1,15,18.5,9.4,11.9,3.8,2,47572,62423,14851,Very Low
0500000US48355,Nueces,Texas,131194,6.2,6.9,10.1,9.4,11.6,16,13.4,16.7,5.6,4.1,56789,73358,16569,Low
0500000US48361,Orange,Texas,31913,5,5.8,8.8,6.8,9.7,16.5,11.3,20,10.1,6,69052,86537,17485,High
0500000US48367,Parker,Texas,43520,3.8,4.5,8.2,4.8,7.5,14.8,15.7,22.2,10.3,8.1,83262,100470,17208,Very High
0500000US48375,Potter,Texas,44180,10.3,6,15.8,15.2,13.6,16,6.6,12.1,2.5,1.9,37297,53195,15898,Very Low
0500000US48381,Randall,Texas,50261,3.9,2.6,8.9,8.5,11.9,17.3,14.8,19.1,6.7,6.2,70651,89410,18759,High
0500000US48397,Rockwall,Texas,36665,1.3,0.2,4,1.6,6.5,20.3,14.1,19.4,16.5,15.9,103378,133824,30446,Very High
0500000US48409,San Patricio,Texas,21872,7.3,6.2,9.7,9.3,12.4,13.8,12.4,17.1,6.1,5.9,57899,78550,20651,Low
0500000US48423,Smith,Texas,78600,5.4,3.1,11.2,8.3,13.8,19.7,13.4,15.3,5.1,4.7,59584,79183,19599,Low
0500000US48439,Tarrant,Texas,727094,4.4,3.2,6.7,8.3,12.2,18.8,13.7,16.4,7.8,8.5,70139,94469,24330,High
