id,county,state,total_pop,white,prop_white,black,prop_black,asian,prop_asian,am_in_alask,prop_am_in_alask,hawaii_pi,prop_hawaii_pi,other,prop_other
0500000US13063,Clayton,Georgia,292256,49935,17.08604784846162,203719,69.70566900251835,14986,5.12769626628709,103,0.03524307456476514,1237,0.4232590605496551,11168,3.8213073469834664
0500000US13067,Cobb,Georgia,760141,427108,56.18799670061212,213192,28.046375606630875,41478,5.4566192324845,3323,0.4371557382117265,192,0.02525847178352437,52378,6.890563724361664
0500000US13073,Columbia,Georgia,156714,114364,72.97624972880534,26183,16.707505391987954,4693,2.994627155199918,0,0,0,0,1212,0.773383360771852
0500000US13077,Coweta,Georgia,148509,112588,75.81224033560255,27661,18.625807190136626,3526,2.3742668794483834,148,0.09965725982937061,0,0,1074,0.7231884936266488
0500000US13089,DeKalb,Georgia,759297,256943,33.8395910954475,409327,53.90868131969441,47162,6.211271742150963,11330,1.492169730685094,329,0.04332955352121765,15189,2.0004030043579784
0500000US13095,Dougherty,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0500000US13097,Douglas,Georgia,146343,65461,44.731213655589954,70313,48.04671217618882,2444,1.6700491311507897,163,0.11138216382061321,0,0,4060,2.7743042031392005
0500000US13113,Fayette,Georgia,114421,75067,65.6059639401858,28099,24.557554994275527,4796,4.19153826657694,0,0,653,0.5706994345443581,3199,2.7958154534569704
0500000US13115,Floyd,Georgia,98498,75873,77.02999045665902,12954,13.151536071798411,722,0.7330098073057321,0,0,0,0,4601,4.67116083575301
0500000US13117,Forsyth,Georgia,244252,182582,74.75148617002112,9585,3.9242257995840366,35925,14.708170250397131,2330,0.9539328234773923,0,0,7860,3.2179879796275976
0500000US13121,Fulton,Georgia,1063937,469465,44.125263055989215,472625,44.42227312331463,76786,7.217156654952314,2068,0.19437241114840445,673,0.06325562509810262,17248,1.6211486206420118
0500000US13127,Glynn,Georgia,85292,55984,65.63804342728508,23597,27.66613515921775,672,0.787881630164611,539,0.6319467241945318,183,0.2145570510716128,2765,3.2418046241148057
0500000US13135,Gwinnett,Georgia,936250,429774,45.903765020026704,266298,28.44304405874499,113593,12.132763684913217,4271,0.45618157543391186,161,0.017196261682242992,88086,9.408384512683577
0500000US13139,Hall,Georgia,204441,174994,85.5963334164869,13567,6.636144413302615,3757,1.8376940046272519,198,0.09684945778977798,43,0.021032963055355826,6009,2.93923430231705
0500000US13151,Henry,Georgia,234561,106904,45.57620405779307,112316,47.883492993293856,7704,3.2844334735953544,92,0.03922220659018336,0,0,1880,0.8014972651037469
0500000US13153,Houston,Georgia,157863,91443,57.92554303414986,49550,31.387975649772272,6101,3.8647434801061675,1437,0.9102829668763421,0,0,2620,1.659666926385537
0500000US13157,Jackson,Georgia,72977,61658,84.48963372021322,5157,7.066610027816983,1405,1.9252641243131399,0,0,137,0.18773038080491114,2461,3.372295380736397
0500000US13185,Lowndes,Georgia,117406,64240,54.71611331618487,44053,37.52193243956868,1339,1.1404868575711633,1076,0.9164778631415771,614,0.5229715687443572,2858,2.434287855816568
0500000US13215,Muscogee,Georgia,195769,83333,42.56700499057563,91340,46.657029458187964,5734,2.9289621952403087,940,0.48015773692464075,292,0.14915538210850543,6568,3.3549744852351493
0500000US13217,Newton,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0500000US13223,Paulding,Georgia,168667,125701,74.52613730012392,31020,18.391268001446637,2404,1.425293625901925,349,0.20691658712136932,0,0,982,0.5822122881180076
0500000US13245,Richmond,Georgia,202518,71738,35.42302412625051,114219,56.39943116167452,3628,1.7914456986539466,255,0.1259147335051699,0,0,5695,2.8120957149487946
0500000US13247,Rockdale,Georgia,90896,33387,36.7309892624538,50986,56.09267734553776,1901,2.0914011617672945,136,0.14962154550255238,930,1.023147333215983,1088,1.196972364020419
0500000US13255,Spalding,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0500000US13285,Troup,Georgia,69922,40247,57.55985240696776,25464,36.417722605188644,1781,2.547123938102457,213,0.3046251537427419,0,0,1395,1.9950802322588026
0500000US13295,Walker,Georgia,69761,64123,91.91812043978727,4227,6.0592594716245465,607,0.8701136738292169,42,0.06020555897994582,0,0,155,0.2221871819498
0500000US13297,Walton,Georgia,94593,72825,76.98772636453015,17174,18.1556774814204,1793,1.895489095387608,142,0.15011681625490259,0,0,895,0.9461588066770268
0500000US13313,Whitfield,Georgia,104628,93218,89.09469740413655,3641,3.479948006269832,1597,1.5263600565814122,414,0.39568757885078565,0,0,2312,2.20973353213289
0500000US15001,Hawaii,Hawaii,201513,66070,32.78696659768849,826,0.4098991132085771,47011,23.32901599400535,1628,0.8078883248227161,23588,11.705448283733556,3494,1.7338831737902765
0500000US15003,Honolulu,Hawaii,974563,196270,20.139282940148558,25241,2.589981355746114,428277,43.94554277147809,3090,0.31706518716594,101448,10.409588707964494,16569,1.7001466298228025
0500000US15007,Kauai,Hawaii,72293,22554,31.19804130413733,137,0.18950659123289945,21926,30.32935415600404,191,0.2642026198940423,8227,11.380078292504116,744,1.0291452837757458
0500000US15009,Maui,Hawaii,167488,56312,33.621513183034004,719,0.4292844860527321,50627,30.22724016048911,1220,0.7284103935804356,19330,11.541125334352312,3890,2.3225544516622088
0500000US16001,Ada,Idaho,481587,434358,90.19304923098007,6795,1.4109600134555127,11196,2.324813585084315,3848,0.7990248906220475,655,0.13600865471866974,7446,1.5461380809697935
0500000US16005,Bannock,Idaho,87808,77618,88.39513483965014,729,0.8302204810495626,1826,2.079537172011662,2237,2.547603862973761,12,0.013666180758017493,1793,2.0419551749271134
0500000US16019,Bonneville,Idaho,119062,108330,90.98620886596899,374,0.31412205405587,1866,1.5672506761183247,611,0.513178008096622,14,0.011758579563588719,3812,3.2016932354571566
0500000US16027,Canyon,Idaho,229849,181500,78.96488564231299,1063,0.46247753960208654,2428,1.0563456878211348,1567,0.6817519327906583,313,0.13617635926195024,31590,13.743805715926543
0500000US16055,Kootenai,Idaho,165697,155439,93.80918181982776,340,0.20519381763097702,1971,1.1895206310313404,1411,0.8515543431685547,9,0.005431601054937628,766,0.4622896008980247
0500000US16083,Twin Falls,Idaho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0500000US17001,Adams,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0500000US17019,Champaign,Illinois,209689,149478,71.28557053541196,28368,13.528606650801903,22675,10.813633523933062,341,0.1626217875043517,240,0.11445521701186041,1789,0.8531682634759095
0500000US17031,Cook,Illinois,5150233,2916176,56.622214956100045,1189794,23.101750930491882,395599,7.681186462826051,16797,0.3261405843191949,2084,0.04046418870757886,483181,9.381730884796863
0500000US17037,DeKalb,Illinois,104897,85417,81.42940217546736,7845,7.478764883647769,1958,1.866592943554153,138,0.13155762319227432,0,0,5587,5.326177107066933
0500000US17043,DuPage,Illinois,922921,703358,76.20998980411107,45020,4.877990640585706,112874,12.230082531440937,439,0.047566368085675804,201,0.02177867878182423,30593,3.314801591902232
0500000US17089,Kane,Illinois,532403,394664,74.12880844022291,30388,5.707706380317166,21614,4.05970665078897,2644,0.496616285032203,429,0.08057805835053522,65266,12.258758872508231
0500000US17091,Kankakee,Illinois,109862,88698,80.73583222588339,17177,15.635069450765506,709,0.6453550818299322,152,0.13835539130909688,0,0,1244,1.1323296499244506
0500000US17093,Kendall,Illinois,128990,105348,81.67144739902318,10485,8.128537095898906,3238,2.5102721141173734,209,0.16202806419102256,0,0,6608,5.122877742460656
0500000US17097,Lake,Illinois,696535,516918,74.21278184154421,47300,6.790757104811675,55381,7.9509285247690356,2373,0.3406863976684589,67,0.00961904283345417,51289,7.3634490729109086
0500000US17099,LaSalle,Illinois,108669,99522,91.5826960770781,3359,3.0910379224985967,875,0.8051974344109175,0,0,0,0,3382,3.112203112203112
0500000US17111,McHenry,Illinois,307774,284113,92.3122161066237,4523,1.4695848252289017,8788,2.855341906723765,387,0.12574161560105793,0,0,2795,0.908133890452085
0500000US17113,McLean,Illinois,171517,143711,83.78819592227009,14048,8.190441763790178,8574,4.998921389716472,141,0.08220759458246121,92,0.053638997883591714,602,0.350985616586111
0500000US17115,Macon,Illinois,104009,80607,77.50002403638146,18749,18.026324644982648,1209,1.1623994077435607,65,0.06249459181416993,73,0.07018623388360622,264,0.25382418829139786
0500000US17119,Madison,Illinois,262966,229354,87.21811945270491,21887,8.323129225831476,3490,1.3271677707384224,709,0.2696166044279489,69,0.02623913357620377,1667,0.6339222561091548
0500000US17143,Peoria,Illinois,179179,129106,72.05420278045976,32993,18.413430145273722,7740,4.31970264372499,81,0.04520619045758711,13,0.00725531451788435,3254,1.8160610339381287
0500000US17161,Rock Island,Illinois,141879,110742,78.05383460554415,15044,10.603401490002044,3082,2.172273557045088,860,0.6061503111806539,0,0,6195,4.366396718330408
0500000US17163,St. Clair,Illinois,259686,167199,64.38506504008687,76052,29.286137874201923,3278,1.2622936931524995,790,0.304213550210639,204,0.07855641043413969,1569,0.6041912155449273
0500000US17167,Sangamon,Illinois,194672,159527,81.94655625873264,25391,13.042964576312976,3902,2.004397139804389,122,0.06266951590367387,187,0.09605901208186077,677,0.34776444480973123
0500000US17179,Tazewell,Illinois,131803,126273,95.80434436241967,1433,1.0872286670257885,1375,1.0432235988558682,45,0.03414186323528296,0,0,392,0.2974135641829094
0500000US17183,Vermilion,Illinois,75758,61830,81.61514295519945,10939,14.43939913936482,611,0.8065154835132923,201,0.26531851421632036,0,0,509,0.67187623749307
0500000US17197,Will,Illinois,690743,508306,73.58829550208978,79657,11.532074881685373,40123,5.80867269013222,1872,0.2710125184040953,0,0,38044,5.507692441327672
0500000US17199,Williamson,Illinois,66597,59900,89.94399147108729,3004,4.5107136958121234,1189,1.7853657071639863,162,0.24325420063966846,0,0,259,0.38890640719551933
0500000US17201,Winnebago,Illinois,282572,221622,78.43027617739904,39076,13.82868790963011,7714,2.729923700862081,522,0.18473167900570475,0,0,5178,1.832453321631301
0500000US18003,Allen,Indiana,379299,294918,77.75343462545379,42717,11.262091384369587,17143,4.51965336054142,1316,0.34695583167896565,90,0.023727982409655707,9586,2.527293770877329
0500000US18005,Bartholomew,Indiana,83779,70685,84.37078504159754,794,0.9477315317681041,7136,8.51764762052543,0,0,0,0,2390,2.8527435276143187
0500000US18011,Boone,Indiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0500000US18019,Clark,Indiana,118302,103343,87.35524336021369,8933,7.551013507802066,1577,1.3330290274044394,330,0.27894710148602725,0,0,590,0.49872360568713975
0500000US18035,Delaware,Indiana,114135,101399,88.84128444386033,7186,6.29605291978797,1504,1.317737766679809,114,0.09988171901695361,0,0,171,0.1498225785254304
0500000US18039,Elkhart,Indiana,206341,171592,83.15943026349586,12665,6.137897945633684,2540,1.2309720317338775,261,0.12648964578052835,42,0.020354655642843642,13961,6.765984462612859
0500000US18043,Floyd,Indiana,78522,70985,90.40141616362294,3711,4.726064033009857,412,0.5246937164106875,192,0.24451746007488348,150,0.19102926568350273,62,0.07895876314918113
0500000US18053,Grant,Indiana,65769,57438,87.33293801030881,4315,6.560841733947605,736,1.1190682540406574,73,0.11099454150131521,0,0,692,1.0521674345056182
0500000US18057,Hamilton,Indiana,338011,290443,85.92708521320313,14768,4.369088579957457,22574,6.6784808778412525,529,0.15650378242128216,0,0,2416,0.7147696376745135
0500000US18059,Hancock,Indiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0500000US18063,Hendricks,Indiana,170311,145389,85.36677020274675,12133,7.124026046467932,5902,3.465425016587302,254,0.14913892819606483,61,0.03581682921244077,2592,1.5219216609614177
0500000US18067,Howard,Indiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0500000US18081,Johnson,Indiana,158167,141559,89.49970600694202,3655,2.3108486599606746,6277,3.968590161032327,0,0,81,0.05121169396903274,3312,2.0939892645115603
0500000US18085,Kosciusko,Indiana,79456,72911,91.7627366089408,1174,1.4775473217881596,1178,1.4825815545710834,905,1.1389951671365284,0,0,1367,1.7204490535642367
0500000US18089,Lake,Indiana,485493,308076,63.45632171833579,114497,23.583656201016286,7771,1.6006409979134613,2022,0.41648386279513816,252,0.05190600070443858,39895,8.21742023056975
0500000US18091,LaPorte,Indiana,109888,91110,82.91169190448457,12032,10.949330227140361,737,0.6706828771112405,318,0.2893855562026791,44,0.040040768782760625,1618,1.4724082702387886
0500000US18095,Madison,Indiana,129569,114100,88.06118747539921,10864,8.38472165409936,678,0.5232733138327841,328,0.2531469718837067,0,0,1234,0.9523883027576041
0500000US18097,Marion,Indiana,964582,588751,61.03690510500922,276376,28.652411096205405,36356,3.7690937628941863,3224,0.3342380430072301,96,0.009952497558527942,27387,2.8392609441187995
0500000US18105,Monroe,Indiana,148431,127639,85.99214449811697,4950,3.334882874871152,10784,7.265328671234446,234,0.15764900863027265,0,0,575,0.3873853844547298
