id,county,state,total_income,estimate_households,mean_income,median_income,disparity_value
0500000US01117,Shelby County, Alabama,"100,000-149,999",19.7,75614,101601,25987
0500000US01117,Shelby County, Alabama,"150,000-199,999",8,75614,101601,25987
0500000US01117,Shelby County, Alabama,"200,000+",9.2,75614,101601,25987
0500000US01121,Talladega County, Alabama,"0-10,000",9.7,50147,62758,12611
0500000US01121,Talladega County, Alabama,"10,000-14,999",6.8,50147,62758,12611
0500000US01121,Talladega County, Alabama,"15,000-24,999",13.5,50147,62758,12611
0500000US01121,Talladega County, Alabama,"25,000-34,999",12.2,50147,62758,12611
0500000US01121,Talladega County, Alabama,"35,000-49,999",7.7,50147,62758,12611
0500000US01121,Talladega County, Alabama,"50,000-74,999",16.4,50147,62758,12611
0500000US01121,Talladega County, Alabama,"75,000-99,999",13.5,50147,62758,12611
0500000US01121,Talladega County, Alabama,"100,000-149,999",14.3,50147,62758,12611
0500000US01121,Talladega County, Alabama,"150,000-199,999",3.6,50147,62758,12611
0500000US01121,Talladega County, Alabama,"200,000+",2.4,50147,62758,12611
0500000US01125,Tuscaloosa County, Alabama,"0-10,000",9,52243,73432,21189
0500000US01125,Tuscaloosa County, Alabama,"10,000-14,999",5,52243,73432,21189
0500000US01125,Tuscaloosa County, Alabama,"15,000-24,999",10.6,52243,73432,21189
0500000US01125,Tuscaloosa County, Alabama,"25,000-34,999",11,52243,73432,21189
0500000US01125,Tuscaloosa County, Alabama,"35,000-49,999",12.6,52243,73432,21189
0500000US01125,Tuscaloosa County, Alabama,"50,000-74,999",17.6,52243,73432,21189
0500000US01125,Tuscaloosa County, Alabama,"75,000-99,999",8.4,52243,73432,21189
0500000US01125,Tuscaloosa County, Alabama,"100,000-149,999",15.1,52243,73432,21189
0500000US01125,Tuscaloosa County, Alabama,"150,000-199,999",5.5,52243,73432,21189
0500000US01125,Tuscaloosa County, Alabama,"200,000+",5.3,52243,73432,21189
0500000US01127,Walker County, Alabama,"0-10,000",7.4,46283,60865,14582
0500000US01127,Walker County, Alabama,"10,000-14,999",5.3,46283,60865,14582
0500000US01127,Walker County, Alabama,"15,000-24,999",14.4,46283,60865,14582
0500000US01127,Walker County, Alabama,"25,000-34,999",10.9,46283,60865,14582
0500000US01127,Walker County, Alabama,"35,000-49,999",15,46283,60865,14582
0500000US01127,Walker County, Alabama,"50,000-74,999",16.3,46283,60865,14582
0500000US01127,Walker County, Alabama,"75,000-99,999",12,46283,60865,14582
0500000US01127,Walker County, Alabama,"100,000-149,999",13.7,46283,60865,14582
0500000US01127,Walker County, Alabama,"150,000-199,999",3.3,46283,60865,14582
0500000US01127,Walker County, Alabama,"200,000+",1.9,46283,60865,14582
0500000US02020,Anchorage Municipality, Alaska,"0-10,000",3.8,82716,109042,26326
0500000US02020,Anchorage Municipality, Alaska,"10,000-14,999",2.7,82716,109042,26326
0500000US02020,Anchorage Municipality, Alaska,"15,000-24,999",4.6,82716,109042,26326
0500000US02020,Anchorage Municipality, Alaska,"25,000-34,999",6.6,82716,109042,26326
0500000US02020,Anchorage Municipality, Alaska,"35,000-49,999",10.1,82716,109042,26326
0500000US02020,Anchorage Municipality, Alaska,"50,000-74,999",17.6,82716,109042,26326
0500000US02020,Anchorage Municipality, Alaska,"75,000-99,999",13.1,82716,109042,26326
0500000US02020,Anchorage Municipality, Alaska,"100,000-149,999",20.4,82716,109042,26326
0500000US02020,Anchorage Municipality, Alaska,"150,000-199,999",10.8,82716,109042,26326
0500000US02020,Anchorage Municipality, Alaska,"200,000+",10.2,82716,109042,26326
0500000US02090,Fairbanks North Star Borough, Alaska,"0-10,000",2.8,72065,103334,31269
0500000US02090,Fairbanks North Star Borough, Alaska,"10,000-14,999",1.9,72065,103334,31269
0500000US02090,Fairbanks North Star Borough, Alaska,"15,000-24,999",7.7,72065,103334,31269
0500000US02090,Fairbanks North Star Borough, Alaska,"25,000-34,999",5.7,72065,103334,31269
0500000US02090,Fairbanks North Star Borough, Alaska,"35,000-49,999",11.5,72065,103334,31269
0500000US02090,Fairbanks North Star Borough, Alaska,"50,000-74,999",21.5,72065,103334,31269
0500000US02090,Fairbanks North Star Borough, Alaska,"75,000-99,999",11.1,72065,103334,31269
0500000US02090,Fairbanks North Star Borough, Alaska,"100,000-149,999",16,72065,103334,31269
0500000US02090,Fairbanks North Star Borough, Alaska,"150,000-199,999",9.4,72065,103334,31269
0500000US02090,Fairbanks North Star Borough, Alaska,"200,000+",12.4,72065,103334,31269
0500000US02170,Matanuska-Susitna Borough, Alaska,"0-10,000",4.5,74709,92126,17417
0500000US02170,Matanuska-Susitna Borough, Alaska,"10,000-14,999",2.9,74709,92126,17417
0500000US02170,Matanuska-Susitna Borough, Alaska,"15,000-24,999",7.7,74709,92126,17417
0500000US02170,Matanuska-Susitna Borough, Alaska,"25,000-34,999",6.9,74709,92126,17417
0500000US02170,Matanuska-Susitna Borough, Alaska,"35,000-49,999",9.6,74709,92126,17417
0500000US02170,Matanuska-Susitna Borough, Alaska,"50,000-74,999",18.7,74709,92126,17417
0500000US02170,Matanuska-Susitna Borough, Alaska,"75,000-99,999",14.6,74709,92126,17417
0500000US02170,Matanuska-Susitna Borough, Alaska,"100,000-149,999",18,74709,92126,17417
0500000US02170,Matanuska-Susitna Borough, Alaska,"150,000-199,999",8.7,74709,92126,17417
0500000US02170,Matanuska-Susitna Borough, Alaska,"200,000+",8.4,74709,92126,17417
0500000US04001,Apache County, Arizona,"0-10,000",22.3,30480,43748,13268
0500000US04001,Apache County, Arizona,"10,000-14,999",6.6,30480,43748,13268
0500000US04001,Apache County, Arizona,"15,000-24,999",13.6,30480,43748,13268
0500000US04001,Apache County, Arizona,"25,000-34,999",12.3,30480,43748,13268
0500000US04001,Apache County, Arizona,"35,000-49,999",12.3,30480,43748,13268
0500000US04001,Apache County, Arizona,"50,000-74,999",14.5,30480,43748,13268
0500000US04001,Apache County, Arizona,"75,000-99,999",6.2,30480,43748,13268
0500000US04001,Apache County, Arizona,"100,000-149,999",9.9,30480,43748,13268
