id,county,state,age,sex,total,percent
0500000US01097,Mobile County, Alabama,30 to 34 ,male,13180,6.7
0500000US01097,Mobile County, Alabama,35 to 39 ,male,10879,5.5
0500000US01097,Mobile County, Alabama,40 to 44 ,male,12329,6.3
0500000US01097,Mobile County, Alabama,45 to 49 ,male,11593,5.9
0500000US01097,Mobile County, Alabama,50 to 54 ,male,11111,5.7
0500000US01097,Mobile County, Alabama,55 to 59 ,male,12582,6.4
0500000US01097,Mobile County, Alabama,60 to 64 ,male,13260,6.8
0500000US01097,Mobile County, Alabama,65 to 69 ,male,11269,5.7
0500000US01097,Mobile County, Alabama,70 to 74 ,male,7616,3.9
0500000US01097,Mobile County, Alabama,75 to 79 ,male,4985,2.5
0500000US01097,Mobile County, Alabama,80 to 84 ,male,3497,1.8
0500000US01097,Mobile County, Alabama,85+,male,2336,1.2
0500000US01101,Montgomery County, Alabama,0-5 ,male,7524,7
0500000US01101,Montgomery County, Alabama,5 to 9 ,male,6489,6.1
0500000US01101,Montgomery County, Alabama,10 to 14 ,male,9095,8.5
0500000US01101,Montgomery County, Alabama,15 to 19 ,male,7730,7.2
0500000US01101,Montgomery County, Alabama,20 to 24 ,male,7322,6.9
0500000US01101,Montgomery County, Alabama,25 to 29 ,male,8217,7.7
0500000US01101,Montgomery County, Alabama,30 to 34 ,male,7973,7.5
0500000US01101,Montgomery County, Alabama,35 to 39 ,male,6117,5.7
0500000US01101,Montgomery County, Alabama,40 to 44 ,male,7148,6.7
0500000US01101,Montgomery County, Alabama,45 to 49 ,male,6116,5.7
0500000US01101,Montgomery County, Alabama,50 to 54 ,male,5919,5.5
0500000US01101,Montgomery County, Alabama,55 to 59 ,male,5367,5
0500000US01101,Montgomery County, Alabama,60 to 64 ,male,7061,6.6
0500000US01101,Montgomery County, Alabama,65 to 69 ,male,5458,5.1
0500000US01101,Montgomery County, Alabama,70 to 74 ,male,3910,3.7
0500000US01101,Montgomery County, Alabama,75 to 79 ,male,3399,3.2
0500000US01101,Montgomery County, Alabama,80 to 84 ,male,1073,1
0500000US01101,Montgomery County, Alabama,85+,male,911,0.9
0500000US01103,Morgan County, Alabama,0-5 ,male,3595,6.1
0500000US01103,Morgan County, Alabama,5 to 9 ,male,3911,6.6
0500000US01103,Morgan County, Alabama,10 to 14 ,male,3732,6.3
0500000US01103,Morgan County, Alabama,15 to 19 ,male,4499,7.6
0500000US01103,Morgan County, Alabama,20 to 24 ,male,3552,6
0500000US01103,Morgan County, Alabama,25 to 29 ,male,3286,5.6
0500000US01103,Morgan County, Alabama,30 to 34 ,male,2778,4.7
0500000US01103,Morgan County, Alabama,35 to 39 ,male,3217,5.5
0500000US01103,Morgan County, Alabama,40 to 44 ,male,3695,6.3
0500000US01103,Morgan County, Alabama,45 to 49 ,male,4394,7.5
0500000US01103,Morgan County, Alabama,50 to 54 ,male,4650,7.9
0500000US01103,Morgan County, Alabama,55 to 59 ,male,4097,7
0500000US01103,Morgan County, Alabama,60 to 64 ,male,3971,6.7
0500000US01103,Morgan County, Alabama,65 to 69 ,male,2867,4.9
0500000US01103,Morgan County, Alabama,70 to 74 ,male,2369,4
0500000US01103,Morgan County, Alabama,75 to 79 ,male,2114,3.6
0500000US01103,Morgan County, Alabama,80 to 84 ,male,1263,2.1
0500000US01103,Morgan County, Alabama,85+,male,893,1.5
0500000US01115,St. Clair County, Alabama,0-5 ,male,2289,5.3
0500000US01115,St. Clair County, Alabama,5 to 9 ,male,2169,5
0500000US01115,St. Clair County, Alabama,10 to 14 ,male,3440,8
0500000US01115,St. Clair County, Alabama,15 to 19 ,male,3050,7.1
0500000US01115,St. Clair County, Alabama,20 to 24 ,male,1858,4.3
0500000US01115,St. Clair County, Alabama,25 to 29 ,male,3439,8
0500000US01115,St. Clair County, Alabama,30 to 34 ,male,3478,8
0500000US01115,St. Clair County, Alabama,35 to 39 ,male,2717,6.3
0500000US01115,St. Clair County, Alabama,40 to 44 ,male,2753,6.4
0500000US01115,St. Clair County, Alabama,45 to 49 ,male,2599,6
0500000US01115,St. Clair County, Alabama,50 to 54 ,male,3231,7.5
0500000US01115,St. Clair County, Alabama,55 to 59 ,male,2761,6.4
0500000US01115,St. Clair County, Alabama,60 to 64 ,male,3088,7.1
0500000US01115,St. Clair County, Alabama,65 to 69 ,male,2640,6.1
0500000US01115,St. Clair County, Alabama,70 to 74 ,male,1388,3.2
0500000US01115,St. Clair County, Alabama,75 to 79 ,male,1068,2.5
0500000US01115,St. Clair County, Alabama,80 to 84 ,male,568,1.3
0500000US01115,St. Clair County, Alabama,85+,male,720,1.7
0500000US01117,Shelby County, Alabama,0-5 ,male,5672,5.4
0500000US01117,Shelby County, Alabama,5 to 9 ,male,6602,6.3
0500000US01117,Shelby County, Alabama,10 to 14 ,male,8542,8.1
0500000US01117,Shelby County, Alabama,15 to 19 ,male,6799,6.5
0500000US01117,Shelby County, Alabama,20 to 24 ,male,6438,6.1
0500000US01117,Shelby County, Alabama,25 to 29 ,male,6036,5.7
0500000US01117,Shelby County, Alabama,30 to 34 ,male,7056,6.7
0500000US01117,Shelby County, Alabama,35 to 39 ,male,7533,7.2
0500000US01117,Shelby County, Alabama,40 to 44 ,male,7559,7.2
0500000US01117,Shelby County, Alabama,45 to 49 ,male,6925,6.6
0500000US01117,Shelby County, Alabama,50 to 54 ,male,6843,6.5
0500000US01117,Shelby County, Alabama,55 to 59 ,male,7455,7.1
0500000US01117,Shelby County, Alabama,60 to 64 ,male,5828,5.5
0500000US01117,Shelby County, Alabama,65 to 69 ,male,5040,4.8
0500000US01117,Shelby County, Alabama,70 to 74 ,male,5272,5
0500000US01117,Shelby County, Alabama,75 to 79 ,male,2315,2.2
0500000US01117,Shelby County, Alabama,80 to 84 ,male,2018,1.9
0500000US01117,Shelby County, Alabama,85+,male,1225,1.2
0500000US01121,Talladega County, Alabama,0-5 ,male,2672,6.7
0500000US01121,Talladega County, Alabama,5 to 9 ,male,1966,5
0500000US01121,Talladega County, Alabama,10 to 14 ,male,3356,8.5
0500000US01121,Talladega County, Alabama,15 to 19 ,male,2906,7.3
0500000US01121,Talladega County, Alabama,20 to 24 ,male,2276,5.7
0500000US01121,Talladega County, Alabama,25 to 29 ,male,2489,6.3
0500000US01121,Talladega County, Alabama,30 to 34 ,male,2797,7.1
0500000US01121,Talladega County, Alabama,35 to 39 ,male,2195,5.5
0500000US01121,Talladega County, Alabama,40 to 44 ,male,1955,4.9
0500000US01121,Talladega County, Alabama,45 to 49 ,male,2799,7.1
0500000US01121,Talladega County, Alabama,50 to 54 ,male,2322,5.9
0500000US01121,Talladega County, Alabama,55 to 59 ,male,2546,6.4
0500000US01121,Talladega County, Alabama,60 to 64 ,male,2759,7
0500000US01121,Talladega County, Alabama,65 to 69 ,male,1826,4.6
0500000US01121,Talladega County, Alabama,70 to 74 ,male,1960,4.9
0500000US01121,Talladega County, Alabama,75 to 79 ,male,684,1.7
0500000US01121,Talladega County, Alabama,80 to 84 ,male,1681,4.2
0500000US01121,Talladega County, Alabama,85+,male,431,1.1
0500000US01125,Tuscaloosa County, Alabama,0-5 ,male,5864,5.8
0500000US01125,Tuscaloosa County, Alabama,5 to 9 ,male,4738,4.7
0500000US01125,Tuscaloosa County, Alabama,10 to 14 ,male,7605,7.5
0500000US01125,Tuscaloosa County, Alabama,15 to 19 ,male,10228,10.1
0500000US01125,Tuscaloosa County, Alabama,20 to 24 ,male,10587,10.5
0500000US01125,Tuscaloosa County, Alabama,25 to 29 ,male,8578,8.5
0500000US01125,Tuscaloosa County, Alabama,30 to 34 ,male,6532,6.5
0500000US01125,Tuscaloosa County, Alabama,35 to 39 ,male,6445,6.4
0500000US01125,Tuscaloosa County, Alabama,40 to 44 ,male,5255,5.2
0500000US01125,Tuscaloosa County, Alabama,45 to 49 ,male,6053,6
0500000US01125,Tuscaloosa County, Alabama,50 to 54 ,male,5122,5.1
0500000US01125,Tuscaloosa County, Alabama,55 to 59 ,male,5266,5.2
0500000US01125,Tuscaloosa County, Alabama,60 to 64 ,male,6049,6
0500000US01125,Tuscaloosa County, Alabama,65 to 69 ,male,4510,4.5
0500000US01125,Tuscaloosa County, Alabama,70 to 74 ,male,3765,3.7
0500000US01125,Tuscaloosa County, Alabama,75 to 79 ,male,2546,2.5
0500000US01125,Tuscaloosa County, Alabama,80 to 84 ,male,889,0.9
0500000US01125,Tuscaloosa County, Alabama,85+,male,870,0.9
0500000US01127,Walker County, Alabama,0-5 ,male,2067,6.6
0500000US01127,Walker County, Alabama,5 to 9 ,male,2031,6.5
0500000US01127,Walker County, Alabama,10 to 14 ,male,2142,6.8
0500000US01127,Walker County, Alabama,15 to 19 ,male,2115,6.7
0500000US01127,Walker County, Alabama,20 to 24 ,male,1707,5.4
0500000US01127,Walker County, Alabama,25 to 29 ,male,2090,6.6
0500000US01127,Walker County, Alabama,30 to 34 ,male,1569,5
0500000US01127,Walker County, Alabama,35 to 39 ,male,2082,6.6
0500000US01127,Walker County, Alabama,40 to 44 ,male,1181,3.8
0500000US01127,Walker County, Alabama,45 to 49 ,male,1896,6
0500000US01127,Walker County, Alabama,50 to 54 ,male,2745,8.7
0500000US01127,Walker County, Alabama,55 to 59 ,male,1831,5.8
0500000US01127,Walker County, Alabama,60 to 64 ,male,2721,8.6
0500000US01127,Walker County, Alabama,65 to 69 ,male,1672,5.3
0500000US01127,Walker County, Alabama,70 to 74 ,male,1582,5
0500000US01127,Walker County, Alabama,75 to 79 ,male,897,2.8
0500000US01127,Walker County, Alabama,80 to 84 ,male,686,2.2
0500000US01127,Walker County, Alabama,85+,male,472,1.5
0500000US02020,Anchorage Municipality, Alaska,0-5 ,male,8778,6.1
0500000US02020,Anchorage Municipality, Alaska,5 to 9 ,male,11758,8.1
0500000US02020,Anchorage Municipality, Alaska,10 to 14 ,male,8241,5.7
0500000US02020,Anchorage Municipality, Alaska,15 to 19 ,male,10358,7.2
0500000US02020,Anchorage Municipality, Alaska,20 to 24 ,male,11078,7.7
0500000US02020,Anchorage Municipality, Alaska,25 to 29 ,male,12139,8.4
0500000US02020,Anchorage Municipality, Alaska,30 to 34 ,male,12698,8.8
0500000US02020,Anchorage Municipality, Alaska,35 to 39 ,male,10030,6.9
0500000US02020,Anchorage Municipality, Alaska,40 to 44 ,male,9004,6.2
0500000US02020,Anchorage Municipality, Alaska,45 to 49 ,male,7928,5.5
0500000US02020,Anchorage Municipality, Alaska,50 to 54 ,male,9550,6.6
0500000US02020,Anchorage Municipality, Alaska,55 to 59 ,male,9682,6.7
0500000US02020,Anchorage Municipality, Alaska,60 to 64 ,male,8386,5.8
0500000US02020,Anchorage Municipality, Alaska,65 to 69 ,male,5624,3.9
0500000US02020,Anchorage Municipality, Alaska,70 to 74 ,male,4718,3.3
0500000US02020,Anchorage Municipality, Alaska,75 to 79 ,male,1827,1.3
0500000US02020,Anchorage Municipality, Alaska,80 to 84 ,male,1737,1.2
0500000US02020,Anchorage Municipality, Alaska,85+,male,1021,0.7
0500000US02090,Fairbanks North Star Borough, Alaska,0-5 ,male,3426,6.4
0500000US02090,Fairbanks North Star Borough, Alaska,5 to 9 ,male,3722,7
0500000US02090,Fairbanks North Star Borough, Alaska,10 to 14 ,male,3693,6.9
