year,month,day,event_type,sub_event_type,state,county,city,latitude,longitude,fatalities,id,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class
2020,5,29,Protests,Peaceful protest,Missouri,Boone,Columbia,38.952,-92.334,0,0500000US29019,70721,8.4,3.6,9.6,8.7,13.7,16.7,14.1,13.5,5.1,6.6,57013,77332,20319,Low
2020,5,29,Riots,Violent demonstration,Ohio,Franklin,Columbus,39.961,-82.999,0,0500000US39049,522383,5.4,3.3,9,8.2,12.1,19.5,12.7,16,7.1,6.7,64713,87764,23051,Middle
2020,5,29,Protests,Peaceful protest,California,San Diego,Coronado,32.686,-117.183,0,0500000US06073,1132434,4.1,3.3,6,6.3,9.8,15.3,13.4,18.8,9.7,13.3,83985,112786,28801,Very High
2020,5,29,Protests,Peaceful protest,Illinois,McHenry,Crystal Lake,42.241,-88.316,0,0500000US17111,112669,2.2,1.9,5.1,5,10.4,17.1,15.1,20,12.2,10.9,88879,108205,19326,Very High
2020,5,29,Protests,Peaceful protest,Ohio,Delaware,Delaware,40.299,-83.068,0,0500000US39041,73290,2.2,1.1,5.7,5.4,7.7,11.4,11.8,22.2,12.9,19.6,107854,135296,27442,Very High
2020,5,29,Protests,Peaceful protest,Colorado,La Plata,Durango,37.275,-107.88,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,29,Protests,Peaceful protest,Texas,El Paso,El Paso,31.762,-106.485,0,0500000US48141,269150,9.2,5.5,10.5,11.5,14.2,20.7,10.7,11.9,3.4,2.4,48903,62655,13752,Very Low
2020,5,29,Protests,Peaceful protest,Indiana,Elkhart,Elkhart,41.682,-85.977,0,0500000US18039,68553,7.3,3.9,10.3,9.9,14.2,19.3,12.1,15,4.1,4,54531,72420,17889,Very Low
2020,5,29,Protests,Peaceful protest,New York,Chemung,Elmira,42.085,-76.809,0,0500000US36015,33490,8.8,3.8,8,8.2,12.6,20.5,14.2,15.7,5.5,2.9,60782,73297,12515,Middle
2020,5,29,Protests,Peaceful protest,Arizona,Coconino,Flagstaff,35.198,-111.651,0,0500000US04005,48993,9.3,5.5,6.7,6.8,13.8,18.2,10.9,15,8.3,5.6,58085,81219,23134,Low
2020,5,29,Protests,Peaceful protest,Oregon,Washington,Forest Grove,45.52,-123.111,0,0500000US41067,222877,4.4,2.4,4.5,6.1,8.7,17.5,14.8,18.6,11.6,11.5,85734,109231,23497,Very High
2020,5,29,Protests,Peaceful protest,Texas,Tarrant,Fort Worth,32.725,-97.321,0,0500000US48439,727094,4.4,3.2,6.7,8.3,12.2,18.8,13.7,16.4,7.8,8.5,70139,94469,24330,High
2020,5,29,Protests,Peaceful protest,Illinois,Kane,Geneva,41.888,-88.305,0,0500000US17089,182223,3.3,2.4,5.8,6.3,10.7,16.4,14.1,21.4,8.4,11.3,84368,107823,23455,Very High
2020,5,29,Protests,Peaceful protest,Connecticut,Hartford,Hartford,41.767,-72.676,0,0500000US09003,353234,6.5,3.7,7,7,9.9,15.7,12.9,17.7,9.4,10.3,75381,101930,26549,Very High
2020,5,29,Protests,Peaceful protest,South Carolina,Beaufort,Hilton Head Island,32.162,-80.751,0,0500000US45013,73043,3.8,2.4,4.9,10.2,12.9,16.6,13.8,15,8.2,12.1,74127,109158,35031,High
2020,5,29,Protests,Peaceful protest,Idaho,Bonneville,Idaho Falls,43.467,-112.034,0,0500000US16019,40776,4.9,3.7,10.5,6.1,14.7,17.5,12.5,18.3,6.3,5.3,64618,84685,20067,Middle
2020,5,29,Protests,Peaceful protest,Tennessee,Washington,Johnson City,36.313,-82.353,0,0500000US47179,55817,9.9,6.2,8.8,12,12.2,17.6,10,13.5,4.8,5,51428,73919,22491,Very Low
2020,5,29,Protests,Peaceful protest,Hawaii,Maui,Kahului,20.889,-156.473,0,0500000US15009,54744,6,2.1,5.7,6.6,8.6,18,14.7,18.7,10.4,9.1,80754,99883,19129,Very High
2020,5,29,Protests,Peaceful protest,Michigan,Kalamazoo,Kalamazoo,42.29,-85.586,0,0500000US26077,103196,7.9,3.8,7,11.1,13.8,18.4,14.6,11.3,6.4,5.8,56441,79173,22732,Low
2020,5,29,Protests,Peaceful protest,Wisconsin,La Crosse,La Crosse,43.801,-91.24,0,0500000US55063,48175,3.5,5.1,8.9,9.1,14.6,22.8,13,14.5,4.6,4,58921,77894,18973,Low
2020,5,29,Protests,Peaceful protest,New Mexico,Dona Ana,Las Cruces,32.319,-106.77,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,29,Protests,Peaceful protest,Minnesota,Blue Earth,Mankato,44.159,-94.009,0,0500000US27013,26461,7,3.5,8.6,6.9,14.8,18.2,16.7,16.3,5.2,2.8,61133,75171,14038,Middle
