id,county,state,age,total,percent
0500000US01097,Mobile County, Alabama,40 to 44 ,27322,6.6
0500000US01097,Mobile County, Alabama,45 to 49 ,24074,5.8
0500000US01097,Mobile County, Alabama,50 to 54 ,24986,6
0500000US01097,Mobile County, Alabama,55 to 59 ,27375,6.6
0500000US01097,Mobile County, Alabama,60 to 64 ,28204,6.8
0500000US01097,Mobile County, Alabama,65 to 69 ,22754,5.5
0500000US01097,Mobile County, Alabama,70 to 74 ,17722,4.3
0500000US01097,Mobile County, Alabama,75 to 79 ,11516,2.8
0500000US01097,Mobile County, Alabama,80 to 84 ,8828,2.1
0500000US01097,Mobile County, Alabama,85  and over,7189,1.7
0500000US01101,Montgomery County, Alabama,under 5 ,14404,6.4
0500000US01101,Montgomery County, Alabama,5 to 9 ,14529,6.4
0500000US01101,Montgomery County, Alabama,10 to 14 ,15487,6.8
0500000US01101,Montgomery County, Alabama,15 to 19 ,15235,6.7
0500000US01101,Montgomery County, Alabama,20 to 24 ,15521,6.9
0500000US01101,Montgomery County, Alabama,25 to 29 ,16769,7.4
0500000US01101,Montgomery County, Alabama,30 to 34 ,16135,7.1
0500000US01101,Montgomery County, Alabama,35 to 39 ,12868,5.7
0500000US01101,Montgomery County, Alabama,40 to 44 ,15785,7
0500000US01101,Montgomery County, Alabama,45 to 49 ,13678,6
0500000US01101,Montgomery County, Alabama,50 to 54 ,12646,5.6
0500000US01101,Montgomery County, Alabama,55 to 59 ,13399,5.9
0500000US01101,Montgomery County, Alabama,60 to 64 ,14424,6.4
0500000US01101,Montgomery County, Alabama,65 to 69 ,12747,5.6
0500000US01101,Montgomery County, Alabama,70 to 74 ,8473,3.7
0500000US01101,Montgomery County, Alabama,75 to 79 ,7577,3.3
0500000US01101,Montgomery County, Alabama,80 to 84 ,3611,1.6
0500000US01101,Montgomery County, Alabama,85  and over,3198,1.4
0500000US01103,Morgan County, Alabama,under 5 ,7355,6.1
0500000US01103,Morgan County, Alabama,5 to 9 ,6830,5.7
0500000US01103,Morgan County, Alabama,10 to 14 ,6869,5.7
0500000US01103,Morgan County, Alabama,15 to 19 ,8737,7.3
0500000US01103,Morgan County, Alabama,20 to 24 ,7426,6.2
0500000US01103,Morgan County, Alabama,25 to 29 ,6335,5.3
0500000US01103,Morgan County, Alabama,30 to 34 ,5424,4.5
0500000US01103,Morgan County, Alabama,35 to 39 ,7385,6.2
0500000US01103,Morgan County, Alabama,40 to 44 ,7951,6.6
0500000US01103,Morgan County, Alabama,45 to 49 ,8829,7.4
0500000US01103,Morgan County, Alabama,50 to 54 ,8463,7.1
0500000US01103,Morgan County, Alabama,55 to 59 ,7839,6.6
0500000US01103,Morgan County, Alabama,60 to 64 ,8560,7.2
0500000US01103,Morgan County, Alabama,65 to 69 ,6935,5.8
0500000US01103,Morgan County, Alabama,70 to 74 ,5116,4.3
0500000US01103,Morgan County, Alabama,75 to 79 ,4343,3.6
0500000US01103,Morgan County, Alabama,80 to 84 ,2848,2.4
0500000US01103,Morgan County, Alabama,85  and over,2434,2
0500000US01115,St. Clair County, Alabama,under 5 ,5005,5.6
0500000US01115,St. Clair County, Alabama,5 to 9 ,5633,6.3
0500000US01115,St. Clair County, Alabama,10 to 14 ,5663,6.3
0500000US01115,St. Clair County, Alabama,15 to 19 ,5727,6.4
0500000US01115,St. Clair County, Alabama,20 to 24 ,4623,5.2
0500000US01115,St. Clair County, Alabama,25 to 29 ,5865,6.6
0500000US01115,St. Clair County, Alabama,30 to 34 ,6571,7.3
0500000US01115,St. Clair County, Alabama,35 to 39 ,5641,6.3
0500000US01115,St. Clair County, Alabama,40 to 44 ,5663,6.3
0500000US01115,St. Clair County, Alabama,45 to 49 ,5506,6.2
0500000US01115,St. Clair County, Alabama,50 to 54 ,6196,6.9
0500000US01115,St. Clair County, Alabama,55 to 59 ,7380,8.2
0500000US01115,St. Clair County, Alabama,60 to 64 ,5620,6.3
0500000US01115,St. Clair County, Alabama,65 to 69 ,5789,6.5
0500000US01115,St. Clair County, Alabama,70 to 74 ,3066,3.4
0500000US01115,St. Clair County, Alabama,75 to 79 ,2261,2.5
0500000US01115,St. Clair County, Alabama,80 to 84 ,2264,2.5
0500000US01115,St. Clair County, Alabama,85  and over,1039,1.2
0500000US01117,Shelby County, Alabama,under 5 ,11688,5.4
0500000US01117,Shelby County, Alabama,5 to 9 ,13264,6.1
0500000US01117,Shelby County, Alabama,10 to 14 ,16206,7.4
0500000US01117,Shelby County, Alabama,15 to 19 ,14247,6.5
0500000US01117,Shelby County, Alabama,20 to 24 ,13076,6
0500000US01117,Shelby County, Alabama,25 to 29 ,12392,5.7
0500000US01117,Shelby County, Alabama,30 to 34 ,14895,6.8
0500000US01117,Shelby County, Alabama,35 to 39 ,14883,6.8
0500000US01117,Shelby County, Alabama,40 to 44 ,15036,6.9
0500000US01117,Shelby County, Alabama,45 to 49 ,14911,6.8
0500000US01117,Shelby County, Alabama,50 to 54 ,14243,6.5
0500000US01117,Shelby County, Alabama,55 to 59 ,15524,7.1
0500000US01117,Shelby County, Alabama,60 to 64 ,12099,5.6
0500000US01117,Shelby County, Alabama,65 to 69 ,11423,5.2
0500000US01117,Shelby County, Alabama,70 to 74 ,10614,4.9
0500000US01117,Shelby County, Alabama,75 to 79 ,5293,2.4
0500000US01117,Shelby County, Alabama,80 to 84 ,5172,2.4
0500000US01117,Shelby County, Alabama,85  and over,2736,1.3
0500000US01121,Talladega County, Alabama,under 5 ,4576,5.7
0500000US01121,Talladega County, Alabama,5 to 9 ,3639,4.6
0500000US01121,Talladega County, Alabama,10 to 14 ,5604,7
