age,gender,race,police_dept,disposition,year,month,day,city,state,county,cause_of_death,criminal_charges,symptoms_of_mental_illness,lat,lng,state_name,id,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class
34,Male,Asian,DeKalb County Police Department,Pending investigation/No Known Charges,2016,4,27,Atlanta,GA,DeKalb,Gunshot,No known charges,Yes,33.7627,-84.4224,Georgia,0500000US13089,289829,5.6,3.3,8.5,9.4,13.1,17.1,12.7,13.3,6.5,10.5,63652,94336,30684,Middle
21,Male,White,Westminster Police Department,Pending investigation/No Known Charges,2016,4,27,Westminster,CO,Jefferson,Gunshot,No known charges,No,39.8837,-105.0624,Colorado,0500000US08059,236496,3.4,1.6,5,5.4,9.4,17.2,12.8,21.1,10.5,13.5,90040,115741,25701,Very High
36,Male,White,Unified Police Department,Justified by District Attorney,2016,4,27,Milcreek,UT,Salt Lake,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Male,Black,Chesapeake Police Department,Justified by Commonwealth's Attorney,2016,4,26,Chesapeake,VA,Chesapeake City,Gunshot,No known charges,Yes,36.6778,-76.3024,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Female,White,Bernalillo County Sheriff's Office,Pending investigation/No Known Charges,2016,4,26,Albuquerque,NM,Bernalillo,Gunshot,No known charges,Yes,35.1053,-106.6464,New Mexico,0500000US35001,271307,7.9,5.1,9.3,9.5,12.6,18.2,12.5,13.4,5.8,5.7,56115,78477,22362,Low
28,Male,White,Lakewood Police Department,Pending investigation/No Known Charges,2016,4,26,Lakewood,CO,Jefferson,Gunshot,No known charges,No,39.6977,-105.1168,Colorado,0500000US08059,236496,3.4,1.6,5,5.4,9.4,17.2,12.8,21.1,10.5,13.5,90040,115741,25701,Very High
44,Male,White,Seguin Police Department,Pending investigation/No Known Charges,2016,4,26,Kingsbury,TX,Guadalupe,Gunshot,No known charges,No,29.6541,-97.8,Texas,0500000US48187,56051,3.1,1.8,5.6,6.7,12,16.7,16,22.5,10.1,5.5,79768,94096,14328,Very High
60,Female,White,Henderson County Sheriff's Office,Pending investigation/No Known Charges,2016,4,25,East Flat Rock,NC,Henderson,Gunshot,No known charges,Yes,35.2802,-82.4171,North Carolina,0500000US37089,51115,2.8,4.9,10.6,9.5,12.7,20.6,15.5,13.7,4.8,4.8,62131,77779,15648,Middle
53,Male,White,Gulfport Police Department,Pending investigation/No Known Charges,2016,4,24,Gulfport,MS,Harrison,Taser,No known charges,Unknown,30.4271,-89.0703,Mississippi,0500000US28047,74628,8.4,4.6,13.4,11.1,12.4,18.9,10.7,13.7,3.8,3.1,50119,65457,15338,Very Low
28,Male,Black,U.S. Marshals Service,Pending investigation/No Known Charges,2016,4,23,Topeka,KS,Shawnee,Gunshot,No known charges,No,39.0346,-95.6955,Kansas,0500000US20177,73172,5.3,2.6,8.1,10.3,15.7,20.6,13.3,14,5,5.2,59441,78471,19030,Low
21,Male,Black,Fort Pierce Police Department,Pending investigation/No Known Charges,2016,4,23,Fort Pierce,FL,St. Lucie,Gunshot,No known charges,No,27.4256,-80.3431,Florida,0500000US12111,116900,4.1,5.5,8.8,11.5,12.6,20.4,13.9,14.6,5.6,2.8,58039,72610,14571,Low
33,Male,Black,Fayetteville Police Department,Justified by internal review,2016,4,23,Fayetteville,AR,Washington,"Gunshot, Taser",No known charges,Unknown,36.0713,-94.166,Arkansas,0500000US05143,89249,7.5,3.7,11.6,10.5,15.9,17,10.7,13,4.2,5.7,50798,72353,21555,Very Low
18,Male,White,Antigo Police Department,Justified by outside agency,2016,4,23,Antigo,WI,Langlade,Gunshot,No known charges,No,45.1413,-89.1556,Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Male,White,Chandler Police Department,Pending investigation/No Known Charges,2016,4,23,Chandler,AZ,Maricopa,Gunshot,No known charges,Yes,33.2826,-111.8516,Arizona,0500000US04013,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649,92992,24343,High
30,Male,White,Norfolk Police Department,Justified by Commonwealth's Attorney,2016,4,23,Norfolk,VA,Norfolk City,Gunshot,No known charges,Yes,36.8945,-76.259,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Male,White,Austin Police Department,Pending investigation/No Known Charges,2016,4,22,Austin,TX,Travis,Gunshot,No known charges,Yes,30.3004,-97.7522,Texas,0500000US48453,507751,5.4,2.2,5.8,6.2,10.7,16.1,13.2,17.5,9.8,13.1,80726,114226,33500,Very High
51,Male,White,New York State Police,Pending investigation/No Known Charges,2016,4,22,Berne,NY,Albany,Gunshot,No known charges,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Male,Hispanic,Everett Police Department,Justified by District Attorney,2016,4,21,Everett,MA,Middlesex,Gunshot,No known charges,Yes,42.4064,-71.0545,Massachusetts,0500000US25017,612366,4,2.7,4.6,4.5,7.2,12.5,11.3,19,13,21.3,107056,142727,35671,Very High
31,Female,White,Silver City Police Department,Murder / Suicide,2016,4,21,Silver City,NM,Grant,Gunshot,No known charges,No,32.7784,-108.2698,New Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Male,White,Miami-Dade Police Department,Pending investigation/No Known Charges,2016,4,20,Homestead,FL,Miami-Dade,Gunshot,No known charges,No,25.4665,-80.4472,Florida,0500000US12086,912805,8,5.3,9.8,10.3,12.2,18,11.5,12.8,5.3,6.8,55171,82803,27632,Low
52,Male,White,Johnson County Sheriff's Office,Pending investigation/No Known Charges,2016,4,20,Perryville,AR,Johnson,Gunshot,No known charges,Unknown,35.012,-92.803,Arkansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Male,Black,St. Louis Metropolitan Police Department,Pending investigation/No Known Charges,2016,4,19,St. Louis,MO,St. Louis,Gunshot,No known charges,No,38.6358,-90.2451,Missouri,0500000US29189,410842,5,2.8,7.7,7.8,11.9,17.7,12.6,16.1,7.8,10.6,70022,103189,33167,High
41,Male,Pacific Islander,Charlotte-Mecklenburg Police Department,Justified by District Attorney,2016,4,19,Charlotte,NC,Mecklenburg,Gunshot,No known charges,Yes,35.208,-80.8304,North Carolina,0500000US37119,426313,4.5,3.4,6.5,8.2,12.9,18.5,13.1,15.2,6.9,10.9,69072,102553,33481,High
38,Male,White,"Blount County Sheriff's Office, Marshall County Sheriff's Office, Snead Police Department, Blountsville Police Department",Pending investigation/No Known Charges,2016,4,19,Blountsville,AL,Blount,Gunshot,No known charges,No,34.0814,-86.5867,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Male,Black,Cobb County Police Department,Pending investigation/No Known Charges,2016,4,18,Mableton,GA,Cobb,Gunshot,No known charges,No,33.8132,-84.5656,Georgia,0500000US13067,286952,3.7,2.3,4.6,7.5,11.6,17.4,14.2,17,10,11.7,79601,108459,28858,Very High
28,Male,Black,Greenbelt Police Department,Pending investigation/No Known Charges,2016,4,18,Greenbelt,MD,Prince Georges,Gunshot,No known charges,No,38.9953,-76.8885,Maryland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Female,Black,Dayton Police Department,Pending investigation/No Known Charges,2016,4,17,Dayton,OH,Montgomery,Gunshot,No known charges,No,39.7797,-84.1998,Ohio,0500000US39113,224831,7.2,4,10.9,10.8,13.1,18.6,13.8,13.7,4.1,3.8,54537,72781,18244,Very Low
31,Male,Black,Vineland Police Department,Pending investigation/No Known Charges,2016,4,17,Vineland,NJ,Cumberland,Gunshot,No known charges,No,39.4653,-74.9981,New Jersey,0500000US34011,51360,7.5,4.9,9.4,9.2,10.6,21.9,10.8,16.8,4.5,4.3,54587,82821,28234,Very Low
32,Male,Black,New York Police Department,Justified by District Attorney,2016,4,17,New York,NY,Queens,Gunshot,No known charges,No,40.6943,-73.9249,New York,0500000US36081,784552,5.6,3.7,6.6,7.9,10.5,16.3,12.9,17.8,9.5,9.3,73696,96631,22935,High
37,Male,Black,Troy Police Department,Pending investigation/No Known Charges,2016,4,17,Troy,NY,Rensselaer,Gunshot,No known charges,No,42.7354,-73.6751,New York,0500000US36083,65790,5.5,3.3,6.9,8.8,11.3,16.5,14.4,18.4,9.8,5.1,71574,85141,13567,High
22,Male,White,El Paso Police Department,Pending investigation/No Known Charges,2016,4,17,El Paso,TX,El Paso,Gunshot,No known charges,Yes,31.8479,-106.4309,Texas,0500000US48141,269150,9.2,5.5,10.5,11.5,14.2,20.7,10.7,11.9,3.4,2.4,48903,62655,13752,Very Low
53,Male,White,"Lake County Sheriff's Office, McHenry County Sheriff's Office",Pending investigation/No Known Charges,2016,4,16,Antioch,IL,Lake,Gunshot,No known charges,No,42.4742,-88.0721,Illinois,0500000US17097,247661,3.7,2.5,5.3,5.3,10,14.3,12.4,18.3,11,17.2,92511,129550,37039,Very High
44,Male,Black,Baltimore Police Department,Pending investigation/No Known Charges,2016,4,15,Baltimore,MD,Baltimore City,Gunshot,No known charges,Unknown,39.3051,-76.6144,Maryland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Male,Hispanic,Lake Elsinore Police Department,Pending investigation/No Known Charges,2016,4,15,Lake Elsinore,CA,Riverside,Gunshot,No known charges,Unknown,33.6847,-117.3344,California,0500000US06065,734948,5,3.7,7.2,6.9,11,17.2,13.5,18.4,8.6,8.4,73260,95564,22304,High
52,Male,White,Comanche County Sheriff's Office,Pending investigation/No Known Charges,2016,4,15,Cache,OK,Comanche,Gunshot,No known charges,Yes,34.6297,-98.6181,Oklahoma,0500000US40031,41843,6.3,5.6,10.3,10.9,15.5,18.9,12.2,15.2,3.1,2,51300,66189,14889,Very Low
26,Male,White,Muncie Police Department,Grand jury/No bill or Cleared,2016,4,15,Muncie,IN,Delaware,Gunshot,No known charges,No,40.1989,-85.395,Indiana,0500000US18035,45640,8.6,6.6,11.9,13.3,13.8,18.2,11.2,11.4,2.6,2.4,45065,61483,16418,Very Low
54,Male,White,McPherson County Sheriff's Department,Pending investigation/No Known Charges,2016,4,14,McPherson,KS,McPherson,"Gunshot, Taser",No known charges,Yes,38.3714,-97.6605,Kansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Male,Black,Stockton Police Department,Pending investigation/No Known Charges,2016,4,13,Stockton,CA,San Joaquin,Gunshot,No known charges,No,37.9765,-121.3109,California,0500000US06077,230241,4.5,3.2,8,8.4,11.1,18.9,12.3,16.9,9,7.8,68997,92484,23487,High
26,Male,White,White County Sheriff's Office,Pending investigation/No Known Charges,2016,4,13,Sparta,TN,White,Gunshot,No known charges,No,35.9347,-85.4726,Tennessee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,Male,White,"Texas Department of Public Safety, Llano County Sheriff's Office",Pending investigation/No Known Charges,2016,4,13,Llano,TX,Llano,Gunshot,No known charges,No,30.7508,-98.6763,Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Male,Hispanic,Franklin County Sheriff's Department,Pending investigation/No Known Charges,2016,4,12,Benton,IL,Franklin,Gunshot,No known charges,No,38.011,-88.9179,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Male,White,Denver Police Department,Justified by District Attorney,2016,4,12,Denver,CO,Denver,Gunshot,No known charges,No,39.7621,-104.8759,Colorado,0500000US08031,318445,5.5,3.6,6.6,6.9,9.8,17.1,12.4,17.9,8.5,11.7,75646,106715,31069,Very High
20,Male,White,Holmes County Sheriff's Office,Pending investigation/No Known Charges,2016,4,12,Noma,FL,Holmes,Gunshot,No known charges,No,30.9802,-85.6223,Florida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Male,Black,Chicago Police Department,Pending investigation/No Known Charges,2016,4,11,Chicago,IL,Cook,Gunshot,No known charges,No,41.8373,-87.6862,Illinois,0500000US17031,1985613,7,4,7.9,8.2,10.5,15.7,12.1,16.2,8,10.5,69429,100785,31356,High
22,Male,Hispanic,Las Vegas Metropolitan Police Department,Pending investigation/No Known Charges,2016,4,11,Las Vegas,NV,Clark,Gunshot,No known charges,No,36.2333,-115.2654,Nevada,0500000US32003,813607,6.6,3.8,7.7,8.3,13.2,19,13.6,15.3,6,6.5,62107,85925,23818,Middle
28,Male,Hispanic,Los Angeles Police Department,Pending investigation/No Known Charges,2016,4,10,Los Angeles,CA,Los Angeles,Gunshot,No known charges,No,34.1139,-118.4068,California,0500000US06037,3328398,5.4,4.3,7.5,7.3,10.5,16.2,12.4,16.8,8.4,11.3,72797,104063,31266,High
29,Male,Hispanic,Memphis Police Department,Pending investigation/No Known Charges,2016,4,10,Memphis,TN,Shelby,Gunshot,No known charges,No,35.1046,-89.9773,Tennessee,0500000US47157,353950,8.1,6.1,9.8,10.3,13.2,17,11.2,12.7,4.5,7,52614,80016,27402,Very Low
30,Male,White,Rotterdam Police Department,Justified by District Attorney,2016,4,10,Rotterdam,NY,Schenectady,Gunshot,No known charges,Yes,42.7786,-73.9536,New York,0500000US36093,62534,4.4,4.4,7.3,9.3,11.4,18.7,11.3,19.4,7.2,6.6,65773,85444,19671,High
39,Male,White,Modesto Police Department,Pending investigation/No Known Charges,2016,4,10,Modesto,CA,Stanislaus,Gunshot,No known charges,No,37.6374,-121.0028,California,0500000US06099,174698,4.7,3.9,7.8,9.4,13.2,18.8,13.8,16.9,6.1,5.2,63037,79840,16803,Middle
19,Male,Black,Philadelphia Police Department,Pending investigation/No Known Charges,2016,4,9,Philadelphia,PA,Philadelphia,Gunshot,No known charges,No,40.0077,-75.1339,Pennsylvania,0500000US42101,619505,12.2,6.6,9.7,9.9,13.3,16.3,10.8,10.5,5.1,5.7,47474,72748,25274,Very Low
27,Male,Black,Franklin Township Police Department,Justified by Prosecutor,2016,4,9,New Brunswick,NJ,Somerset,Gunshot,No known charges,No,40.487,-74.445,New Jersey,0500000US34035,122606,2.6,1.8,3,4.2,7.1,13.4,12.7,17.5,12.5,25.1,111587,152445,40858,Very High
40,Male,Black,Sacramento Police Department,Justified by District Attorney,2016,4,8,Sacramento,CA,Sacramento,Gunshot,No known charges,Yes,38.5667,-121.4683,California,0500000US06067,556752,4.4,4,7.1,7.8,11.1,17.6,13.7,17.4,8.5,8.4,72017,93318,21301,High
43,Male,Black,Kentwood Police Department,Pending investigation/No Known Charges,2016,4,8,Kentwood,MI,Kent,Gunshot,No known charges,No,42.8852,-85.5925,Michigan,0500000US26081,245437,4.3,3.4,8,8.1,13.1,19.3,14.6,17.1,6.1,6.1,66532,87827,21295,High
25,Female,White,Lake Hallie Police Department,Justified by District Attorney,2016,4,8,Lake Hallie,WI,Chippewa,Gunshot,No known charges,Yes,44.8921,-91.4199,Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Male,Hispanic,San Francisco Police Department,Pending investigation/No Known Charges,2016,4,7,San Francisco,CA,San Francisco,Gunshot,No known charges,Unknown,37.7562,-122.443,California,0500000US06075,365851,4,5.1,4.8,4.2,5.8,10.2,8.2,15,11.9,30.7,123859,173858,49999,Very High
44,Male,White,Omaha Police Department,Pending investigation/No Known Charges,2016,4,7,Omaha,NE,Douglas,Gunshot,No known charges,No,41.2627,-96.0522,Nebraska,0500000US31055,222819,5.3,3.3,7.7,8,11.9,19,14.4,16.8,6.8,6.9,67133,89637,22504,High
40,Female,Black,Gallatin Police Department (officer did the shooting) Sumner County Sheriff's Department (attacked with ax),Justified by District Attorney,2016,4,6,Gallatin,TN,Sumner,Gunshot,No known charges,Unknown,36.3782,-86.4696,Tennessee,0500000US47165,70098,2.6,2.4,5.5,8.1,15.3,20.6,14.9,17.8,6.5,6.5,68743,94687,25944,High
20,Male,Hispanic,Los Angeles Police Department,Civil suit/Family awarded money,2016,4,6,Los Angeles,CA,Los Angeles,"Gunshot, Taser",No known charges,Yes,34.1139,-118.4068,California,0500000US06037,3328398,5.4,4.3,7.5,7.3,10.5,16.2,12.4,16.8,8.4,11.3,72797,104063,31266,High
60,Male,White,Jackson County Sheriff's Office,Pending investigation/No Known Charges,2016,4,6,Oak Hill,OH,Jackson,Gunshot,No known charges,No,38.8962,-82.5691,Ohio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Male,White,Manatee County Sheriff's Office,Pending investigation/No Known Charges,2016,4,6,Bradenton,FL,Manatee,Taser,No known charges,Unknown,27.49,-82.5739,Florida,0500000US12081,145171,3.9,2.6,9.3,8.9,13.7,17.9,13.4,16.4,5.8,8.1,64499,92213,27714,Middle
44,Male,Black,Indianapolis Metropolitan Police Department,Justified by Prosecutor,2016,4,5,Indianapolis,IN,Marion,Gunshot,No known charges,Unknown,39.7771,-86.1458,Indiana,0500000US18097,379451,8.5,4.5,10.6,10.5,15.4,18.1,11.9,11.8,4.8,4,50458,71045,20587,Very Low
52,Male,White,West Springfield Police Department,Pending investigation/No Known Charges,2016,4,5,West Springfield,MA,Hampden,Gunshot,No known charges,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Male,Hispanic,Minneapolis Police Department,Justified by County Attorney,2016,4,4,Minneapolis,MN,Hennepin,Gunshot,No known charges,Yes,44.9635,-93.2678,Minnesota,0500000US27053,517091,4.4,3.6,5.5,6.5,9.8,15.4,14.4,17.4,10,13.1,82369,112406,30037,Very High
36,Female,White,Auburn Police Department,Grand jury/No bill or Cleared,2016,4,3,Notasulga,AL,Macon,Gunshot,No known charges,Yes,32.5569,-85.6695,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Male,White,Austin Police Department,Pending investigation/No Known Charges,2016,4,3,Austin,TX,Travis,Gunshot,No known charges,Unknown,30.3004,-97.7522,Texas,0500000US48453,507751,5.4,2.2,5.8,6.2,10.7,16.1,13.2,17.5,9.8,13.1,80726,114226,33500,Very High
69,Male,White,Eau Claire County Sheriff's Office,Pending investigation/No Known Charges,2016,4,3,Eau Claire,WI,Eau Claire,Gunshot,No known charges,No,44.8199,-91.4949,Wisconsin,0500000US55035,41385,3.7,4.6,6.3,10.3,11.6,21.2,14.5,18.3,5.6,4,65662,82285,16623,High
48,Male,White,Louisiana State Police,Unreported,2016,4,3,Raceland,LA,Lafourche,Gunshot,No known charges,No,29.7282,-90.6362,Louisiana,0500000US22057,36759,8.1,3.8,14,8.4,14.5,15.3,15.7,12.6,4.5,3.2,51339,68225,16886,Very Low
30,Male,Black,Indianapolis Metropolitan Police Department,Pending investigation/No Known Charges,2016,4,2,Indianapolis,IN,Marion,Gunshot,No known charges,No,39.7771,-86.1458,Indiana,0500000US18097,379451,8.5,4.5,10.6,10.5,15.4,18.1,11.9,11.8,4.8,4,50458,71045,20587,Very Low
37,Male,Hispanic,Odessa Police Department,Grand jury/No bill or Cleared,2016,4,1,Odessa,TX,Ector,Gunshot,No known charges,No,31.8831,-102.3406,Texas,0500000US48135,53155,4,3.8,9.4,7.7,12.4,17,13,18.7,8,5.9,67205,84688,17483,High
65,Male,Hispanic,Caldwell County Sheriff's Office,Pending investigation/No Known Charges,2016,4,1,Lockhart,TX,Caldwell,Gunshot,No known charges,Yes,29.8785,-97.6831,Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Male,Black,Baltimore Police Department,Pending investigation/No Known Charges,2016,3,31,Baltimore,MD,Baltimore City,Gunshot,No known charges,No,39.3051,-76.6144,Maryland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Male,Black,Las Vegas Metropolitan Police Department,Pending investigation/No Known Charges,2016,3,31,Las Vegas,NV,Clark,Gunshot,No known charges,No,36.2333,-115.2654,Nevada,0500000US32003,813607,6.6,3.8,7.7,8.3,13.2,19,13.6,15.3,6,6.5,62107,85925,23818,Middle
34,Male,Black,Virginia State Police,Pending investigation/No Known Charges,2016,3,31,Richmond,VA,Richmond City,Gunshot,No known charges,No,37.5295,-77.4756,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Male,Black,Baltimore Police Department,Pending investigation/No Known Charges,2016,3,31,Baltimore,MD,Baltimore City,Gunshot,No known charges,No,39.3051,-76.6144,Maryland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Male,Hispanic,Phoenix Police Department,Pending investigation/No Known Charges,2016,3,30,Glendale,AZ,Maricopa,Gunshot,No known charges,No,33.5791,-112.2311,Arizona,0500000US04013,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649,92992,24343,High
33,Male,White,Los Angeles County Sheriff's Department,Pending investigation/No Known Charges,2016,3,30,East Los Angeles,CA,Los Angeles,Gunshot,No known charges,Unknown,34.0326,-118.1691,California,0500000US06037,3328398,5.4,4.3,7.5,7.3,10.5,16.2,12.4,16.8,8.4,11.3,72797,104063,31266,High
52,Male,White,Jackson Police Department,Grand jury/No bill or Cleared,2016,3,30,Jackson,GA,Butts,Gunshot,No known charges,No,33.292,-83.9678,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Female,White,Aitkin County Sheriff's Office,Pending investigation/No Known Charges,2016,3,29,Aitkin,MN,Aitkin,Gunshot,No known charges,Yes,46.5289,-93.7067,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Male,White,Greenville County Sheriff's Office,Pending investigation/No Known Charges,2016,3,29,Piedmont,SC,Greenville,Gunshot,No known charges,Yes,34.7074,-82.4651,South Carolina,0500000US45045,199551,5.4,3.2,7.3,9.6,14,17.6,13.1,15.4,6.7,7.7,64412,89338,24926,Middle
46,Male,White,Clearlake Police Department,Pending investigation/No Known Charges,2016,3,29,Clearlake,CA,Lake,"Gunshot, Taser",No known charges,Unknown,38.959,-122.633,California,0500000US06033,25968,5.4,8.3,9.4,11.2,21.1,14.8,10.7,10.8,4.8,3.7,47138,67959,20821,Very Low
18,Male,Black,North Carolina State Highway Patrol,Pending investigation/No Known Charges,2016,3,27,Kinston,NC,Lenoir,Gunshot,No known charges,No,35.2748,-77.5936,North Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Female,Native American,Winslow Police Department,Pending investigation/No Known Charges,2016,3,27,Winslow,AZ,Navajo,Gunshot,No known charges,No,35.0253,-110.7098,Arizona,0500000US04017,38732,12.8,5.1,10.8,15.9,15.8,15.7,9.9,9.8,2.8,1.5,38897,53425,14528,Very Low
33,Male,White,Roswell Police Department,Pending investigation/No Known Charges,2016,3,27,Roswell,NM,Chavez,Gunshot,No known charges,Yes,33.373,-104.5294,New Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Male,White,Montgomery County Sheriff's Office,Pending investigation/No Known Charges,2016,3,27,Splendora,TX,Montgomery,Gunshot,No known charges,Yes,30.2324,-95.1616,Texas,0500000US48339,209528,3,1.8,6.6,6.9,10.2,14.2,11.7,18.4,12,15.4,88695,120306,31611,Very High
34,Male,White,Lee's Summit Police Department,Pending investigation/No Known Charges,2016,3,27,Lee's Summit,MO,Jackson,Gunshot,No known charges,Yes,38.9172,-94.3816,Missouri,0500000US29095,292571,7.3,3.9,10.2,8.8,13,18.7,12.8,15,5.7,4.5,57936,75915,17979,Low
39,Male,Hispanic,Lowell Police Department,Justified by District Attorney,2016,3,26,Lowell,MA,Middlesex,Gunshot,No known charges,Yes,42.6389,-71.3217,Massachusetts,0500000US25017,612366,4,2.7,4.6,4.5,7.2,12.5,11.3,19,13,21.3,107056,142727,35671,Very High
36,Male,White,Grundy Police Department,Pending investigation/No Known Charges,2016,3,26,Grundy,VA,Buchanan,Gunshot,No known charges,Yes,37.2754,-82.0988,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Male,White,Tampa Police Department,Pending investigation/No Known Charges,2016,3,26,Tampa,FL,Hillsborough,Gunshot,No known charges,Yes,27.9942,-82.4451,Florida,0500000US12057,541584,7,3.4,7.9,9.3,12.9,19.3,12.2,14.7,5.5,7.7,61154,84812,23658,Middle
55,Male,White,Myrtle Beach Police Department,Pending investigation/No Known Charges,2016,3,26,Myrtle Beach,SC,Horry,Gunshot,No known charges,Yes,33.7096,-78.8843,South Carolina,0500000US45051,140260,4.6,3.9,8.9,11.3,16.8,22.1,12.7,11.9,4.2,3.6,53694,70581,16887,Very Low
22,Male,Black,Kansas City Police Department,Pending investigation/No Known Charges,2016,3,24,Blue Springs,MO,Jackson,Gunshot,No known charges,No,39.0124,-94.2721,Missouri,0500000US29095,292571,7.3,3.9,10.2,8.8,13,18.7,12.8,15,5.7,4.5,57936,75915,17979,Low
24,Male,Black,Pawtucket Police Department,Grand jury/No bill or Cleared,2016,3,24,Pawtucket,RI,Providence,Gunshot,No known charges,No,41.8744,-71.3743,Rhode Island,0500000US44007,237518,6.7,5.8,8.7,8,12,16.7,14.2,15.9,6.7,5.4,62994,80824,17830,Middle
19,Male,Hispanic,Pueblo of Laguna Police Department,Pending investigation/No Known Charges,2016,3,24,Albuquerque,NM,Bernalillo,Gunshot,No known charges,No,35.1053,-106.6464,New Mexico,0500000US35001,271307,7.9,5.1,9.3,9.5,12.6,18.2,12.5,13.4,5.8,5.7,56115,78477,22362,Low
48,Male,Hispanic,Pueblo Police Department,Pending investigation/No Known Charges,2016,3,24,Pueblo,CO,Pueblo,Gunshot,No known charges,No,38.2705,-104.6112,Colorado,0500000US08101,66111,7.8,6.3,9.9,10.5,14.9,17.5,14.1,12.5,3.8,2.6,51276,66317,15041,Very Low
29,Male,White,Redlands Police Department,Pending investigation/No Known Charges,2016,3,24,Redlands,CA,San Bernardino,Gunshot,No known charges,No,34.0511,-117.1712,California,0500000US06071,644758,4.9,3.8,7.3,8.7,12,17.5,14.7,17.4,7.5,6.2,67903,86334,18431,High
44,Male,White,Braintree Police Department,Justified by District Attorney,2016,3,24,Braintree,MA,Norfolk,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Male,White,Escambia County Sheriff's Office,Pending investigation/No Known Charges,2016,3,24,Okaloosa Island,FL,Okaloosa,Gunshot,No known charges,Drug or alcohol use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Male,Black,Memphis Police Department,Pending investigation/No Known Charges,2016,3,23,Memphis,TN,Shelby,Gunshot,No known charges,Yes,35.1046,-89.9773,Tennessee,0500000US47157,353950,8.1,6.1,9.8,10.3,13.2,17,11.2,12.7,4.5,7,52614,80016,27402,Very Low
