age,gender,race,police_dept,disposition,year,month,day,city,state,county,cause_of_death,criminal_charges,symptoms_of_mental_illness,lat,lng,state_name,id,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class
32,Male,White,Cincinnati Police Department,Unknown,2013,7,24,Cincinnati,OH,Hamilton,Gunshot,No known charges,Yes,39.1413,-84.5061,Ohio,0500000US39061,347235,7.7,4.2,9.9,8.8,10.7,16.8,11.2,15.5,6.9,8.4,60198,89581,29383,Middle
35,Male,Asian,Las Vegas Metropolitan Police Department,Justified,2013,7,23,Las Vegas,NV,Clark,Gunshot,No known charges,No,36.2333,-115.2654,Nevada,0500000US32003,813607,6.6,3.8,7.7,8.3,13.2,19,13.6,15.3,6,6.5,62107,85925,23818,Middle
43,Male,Unknown race,Tempe Police Department,Unknown,2013,7,23,Tempe,AZ,Maricopa,Gunshot,No known charges,No,33.3881,-111.9318,Arizona,0500000US04013,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649,92992,24343,High
21,Male,Black,Philadelphia Police Department,Justified,2013,7,22,Philadelphia,PA,Philadelphia,Gunshot,No known charges,No,40.0077,-75.1339,Pennsylvania,0500000US42101,619505,12.2,6.6,9.7,9.9,13.3,16.3,10.8,10.5,5.1,5.7,47474,72748,25274,Very Low
40,Male,Hispanic,Coralville Police Department,Pending investigation/No Known Charges,2013,7,22,Coralville,IA,Johnson,Taser,No known charges,No,41.699,-91.5967,Iowa,0500000US19103,60782,9,3.2,7.3,10,10.6,15,12.3,16.2,6.4,10.1,66011,99179,33168,High
28,Male,Black,Wilmington Police Department,Unreported,2013,7,21,Wilmington,DE,New Castle,Taser,No known charges,No,39.7415,-75.5413,Delaware,0500000US10003,211592,5.7,2.6,6.3,6.3,9.8,18.4,13.9,17.5,9.6,9.8,76328,100948,24620,Very High
36,Male,White,Grand Forks Air Force Base Security,Unreported,2013,7,21,Grand Forks,ND,Grand Forks,Gunshot,No known charges,No,47.9218,-97.0886,North Dakota,0500000US38035,31506,7.1,4.5,11.8,13.3,7.4,20.5,12.8,14.2,3.9,4.5,56622,72083,15461,Low
28,Male,White,"Wilson County Sheriff's Office, Johnston County Sheriff's Office",Justified,2013,7,21,Wilson,NC,Wilson,Gunshot,No known charges,No,35.7312,-77.9284,North Carolina,0500000US37195,32384,13.5,9.3,12.9,9.7,13.1,13.1,8.7,12.6,4.5,2.6,38830,59009,20179,Very Low
24,Male,Unknown race,Paulding Sheriff's Office,Unreported,2013,7,20,Powder Springs,GA,Cobb,Gunshot,No known charges,No,33.8659,-84.6838,Georgia,0500000US13067,286952,3.7,2.3,4.6,7.5,11.6,17.4,14.2,17,10,11.7,79601,108459,28858,Very High
49,Male,White,Baltimore County Police Department,Unreported,2013,7,20,Cockeysville,MD,Baltimore,Gunshot,No known charges,No,39.4793,-76.63,Maryland,0500000US24005,312466,5.3,2.3,6.1,6.4,10.5,18.2,13.6,18.5,8.7,10.3,77358,104484,27126,Very High
47,Male,Black,Fairfield Police Department,Justified,2013,7,19,Fairfield,CA,Solano,Gunshot,No known charges,No,38.2592,-122.0324,California,0500000US06095,150393,4.4,2.2,4.3,6.3,9.7,16,15.6,20.5,10.9,10.1,86652,105465,18813,Very High
29,Male,Hispanic,Los Angeles County Sheriff's Department,Unreported,2013,7,19,Whittier,CA,Los Angeles,Gunshot,No known charges,Unknown,33.9678,-118.0188,California,0500000US06037,3328398,5.4,4.3,7.5,7.3,10.5,16.2,12.4,16.8,8.4,11.3,72797,104063,31266,High
